,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
262,s83,262,64,3, 'k' 'a',ka,0.15196020668372512,vodka,vodka,2
263,s83,263,65,0,'k' 'r',kr,0.11999912234023213,kremp,kremp,2
264,s83,264,65,1, 'r' 'e',re,0.05603735568001866,kremp,kremp,2
265,s83,265,65,2, 'e' 'm',em,0.16800387715920806,kremp,kremp,2
266,s83,266,65,3, 'm' 'p',mp,0.1919755102135241,kremp,kremp,2
267,s83,267,66,0,'p' 'u',pu,0.3518789359368384,puppy,puppy,3
268,s83,268,66,1, 'u' 'p',up,0.19202933367341757,puppy,puppy,3
269,s83,269,66,2, 'p' 'p',pp,0.14409270696341991,puppy,puppy,3
270,s83,270,66,3, 'p' 'y',py,0.16800352605059743,puppy,puppy,3
271,s83,271,67,0,'t' 'i',ti,0.14397001825273037,tithe,tithe,3
272,s83,272,67,1, 'i' 't',it,0.09597815806046128,tithe,tithe,3
273,s83,273,67,2, 't' 'h',th,0.13603362487629056,tithe,tithe,3
274,s83,274,67,3, 'h' 'e',he,0.09621423482894897,tithe,tithe,3
275,s83,275,68,0,'d' 'r',dr,0.1840984863229096,druze,druze,1
276,s83,276,68,1, 'r' 'u',ru,0.23189073102548718,druze,druze,1
277,s83,277,68,2, 'u' 'z',uz,0.2160815205425024,druze,druze,1
278,s83,278,68,3, 'z' 'e',ze,0.29596665827557445,druze,druze,1
279,s83,279,69,0,'p' 'u',pu,0.2319809109903872,puppy,puppy,4
280,s83,280,69,1, 'u' 'p',up,0.19196606799960136,puppy,puppy,4
281,s83,281,69,2, 'p' 'p',pp,0.16011564014479518,puppy,puppy,4
282,s83,282,69,3, 'p' 'y',py,0.12799903377890587,puppy,puppy,4
283,s83,283,70,0,'p' 'u',py,0.2879097983241081,pykka,pukka,2
284,s83,284,70,1, 'u' 'k',yk,0.8480879827402532,pykka,pukka,2
285,s83,285,70,2, 'k' 'k',kk,0.15993053326383233,pykka,pukka,2
286,s83,286,70,3, 'k' 'a',ka,0.14412438590079546,pykka,pukka,2
287,s83,287,71,0,'b' 'e',be,0.1919412212446332,belly,belly,3
288,s83,288,71,1, 'e' 'l',el,0.19201129861176014,belly,belly,3
289,s83,289,71,2, 'l' 'l',ll,0.15212580701336265,belly,belly,3
290,s83,290,71,3, 'l' 'y',ly,0.10397110832855105,belly,belly,3
291,s83,291,72,0,'c' 'h',ch,0.1359958928078413,cheer,cheer,3
292,s83,292,72,1, 'h' 'e',he,0.1361114219762385,cheer,cheer,3
293,s83,293,72,2, 'e' 'e',ee,0.14394768420606852,cheer,cheer,3
294,s83,294,72,3, 'e' 'r',er,0.11993516702204943,cheer,cheer,3
295,s83,295,73,0,'w' 'o',wo,0.23200085712596774,would,would,2
296,s83,296,73,1, 'o' 'u',ou,0.11205465998500586,would,would,2
297,s83,297,73,2, 'u' 'l',ul,0.2398719941265881,would,would,2
298,s83,298,73,3, 'l' 'd',ld,0.11200223304331303,would,would,2
299,s83,299,74,0,'l' 'u',lu,0.21607588790357113,lucky,lucky,2
300,s83,300,74,1, 'u' 'c',uc,0.11987193301320076,lucky,lucky,2
301,s83,301,74,2, 'c' 'k',ck,0.10404777992516756,lucky,lucky,2
302,s83,302,74,3, 'k' 'y',ky,0.191964752972126,lucky,lucky,2
303,s83,303,75,0,'p' 'y',py,0.3999598817899823,pykka,pykka,3
304,s83,304,75,1, 'y' 'k',yk,0.47192115196958184,pykka,pykka,3
305,s83,305,75,2, 'k' 'k',kk,0.14418438915163279,pykka,pykka,3
306,s83,306,75,3, 'k' 'a',ka,0.11986084096133709,pykka,pykka,3
307,s83,307,76,0,'v' 'a',va,0.15193293197080493,vanru,vanru,3
308,s83,308,76,1, 'a' 'n',an,0.11993028922006488,vanru,vanru,3
309,s83,309,76,2, 'n' 'r',nr,0.1360443076118827,vanru,vanru,3
310,s83,310,76,3, 'r' 'u',ru,0.16003431007266045,vanru,vanru,3
311,s83,311,77,0,'d' 'r',dr,0.18395771319046617,druze,druze,2
312,s83,312,77,1, 'r' 'u',ru,0.2000636081211269,druze,druze,2
313,s83,313,77,2, 'u' 'z',uz,0.23985968763008714,druze,druze,2
314,s83,314,77,3, 'z' 'e',ze,0.336134675424546,druze,druze,2
315,s83,315,78,0,'t' 'h',th,0.09604417532682419,theme,theme,1
316,s83,316,78,1, 'h' 'e',he,0.1439822087995708,theme,theme,1
317,s83,317,78,2, 'e' 'm',em,0.15201353700831532,theme,theme,1
318,s83,318,78,3, 'm' 'e',me,0.08793338295072317,theme,theme,1
319,s83,319,79,0,'d' 'r',dr,0.2079638261348009,druze,druze,3
320,s83,320,79,1, 'r' 'u',ru,0.2639444791711867,druze,druze,3
321,s83,321,79,2, 'u' 'z',uz,0.2079983209259808,druze,druze,3
322,s83,322,79,3, 'z' 'e',ze,0.21603464987128973,druze,druze,3
323,s83,323,80,0,'l' 'u',lu,0.15996280405670404,lucky,lucky,3
324,s83,324,80,1, 'u' 'c',uc,0.14400197425857186,lucky,lucky,3
325,s83,325,80,2, 'c' 'k',ck,0.11999768065288663,lucky,lucky,3
326,s83,326,80,3, 'k' 'y',ky,0.19994161929935217,lucky,lucky,3
327,s83,327,81,0,'t' 'h',th,0.1840911149047315,think,think,1
328,s83,328,81,1, 'h' 'i',hi,0.11193539807572961,think,think,1
329,s83,329,81,2, 'i' 'n',in,0.19199149683117867,think,think,1
330,s83,330,81,3, 'n' 'k',nk,0.16809624899178743,think,think,1
331,s83,331,82,0,'c' 'h',ch,0.15201088599860668,champ,champ,2
332,s83,332,82,1, 'h' 'a',ha,0.14395324187353253,champ,champ,2
333,s83,333,82,2, 'a' 'm',am,0.13595729926601052,champ,champ,2
334,s83,334,82,3, 'm' 'p',mp,0.20806416682898998,champ,champ,2
335,s83,335,83,0,'p' 'y',py,0.27196866925805807,pykka,pykka,4
336,s83,336,83,1, 'y' 'k',yk,0.5679931677877903,pykka,pykka,4
337,s83,337,83,2, 'k' 'k',kk,0.15198100917041302,pykka,pykka,4
338,s83,338,83,3, 'k' 'a',ka,0.10410143388435245,pykka,pykka,4
339,s83,339,84,0,'t' 'h',th,0.1759994956664741,think,think,2
340,s83,340,84,1, 'h' 'i',hi,0.5200083642266691,think,think,2
341,s83,341,84,2, 'i' 'n',in,0.17601910885423422,think,think,2
342,s83,342,84,3, 'n' 'k',nk,0.17597946897149086,think,think,2
343,s83,343,85,0,'k' 'r',kr,0.13606647588312626,kremp,kremp,3
344,s83,344,85,1, 'r' 'e',re,0.06396221416071057,kremp,kremp,3
345,s83,345,85,2, 'e' 'm',em,0.12007198482751846,kremp,kremp,3
346,s83,346,85,3, 'm' 'p',mp,0.1999903991818428,kremp,kremp,3
